start_time,end_time,id
25-Feb-2008 00:19:32,25-Feb-2008 00:21:24,6
25-Feb-2008 09:37:17,25-Feb-2008 09:38:02,4
25-Feb-2008 10:02:28,25-Feb-2008 10:12:42,5
25-Feb-2008 17:00:31,25-Feb-2008 17:01:34,4
25-Feb-2008 18:31:54,25-Feb-2008 18:33:38,4
25-Feb-2008 21:51:29,25-Feb-2008 21:52:36,4
25-Feb-2008 23:22:38,25-Feb-2008 23:24:38,6
25-Feb-2008 23:28:30,25-Feb-2008 23:29:14,4
26-Feb-2008 00:39:24,26-Feb-2008 00:39:40,4
26-Feb-2008 03:13:40,26-Feb-2008 03:14:41,4
26-Feb-2008 08:35:59,26-Feb-2008 08:36:38,4
26-Feb-2008 09:15:40,26-Feb-2008 09:19:00,4
26-Feb-2008 09:48:07,26-Feb-2008 09:58:56,5
26-Feb-2008 21:02:34,26-Feb-2008 21:04:02,4
26-Feb-2008 22:56:00,26-Feb-2008 22:58:51,4
26-Feb-2008 22:59:37,26-Feb-2008 23:00:34,6
27-Feb-2008 05:29:11,27-Feb-2008 05:30:26,4
27-Feb-2008 08:13:55,27-Feb-2008 08:16:07,4
27-Feb-2008 08:16:45,27-Feb-2008 08:27:20,5
27-Feb-2008 23:03:23,27-Feb-2008 23:05:40,4
28-Feb-2008 00:08:58,28-Feb-2008 00:10:45,6
28-Feb-2008 00:11:06,28-Feb-2008 00:13:59,4
28-Feb-2008 07:06:27,28-Feb-2008 07:07:25,4
28-Feb-2008 09:48:55,28-Feb-2008 09:49:33,4
28-Feb-2008 10:35:25,28-Feb-2008 10:37:50,4
28-Feb-2008 10:38:00,28-Feb-2008 10:49:22,5
28-Feb-2008 18:48:01,28-Feb-2008 18:48:52,4
28-Feb-2008 18:49:19,28-Feb-2008 18:51:28,6
28-Feb-2008 21:40:40,28-Feb-2008 21:42:22,4
28-Feb-2008 23:21:41,28-Feb-2008 23:23:18,6
28-Feb-2008 23:23:35,28-Feb-2008 23:24:26,4
29-Feb-2008 08:03:13,29-Feb-2008 08:04:23,4
29-Feb-2008 10:30:02,29-Feb-2008 10:30:37,4
29-Feb-2008 10:30:56,29-Feb-2008 10:40:45,5
29-Feb-2008 19:24:05,29-Feb-2008 19:25:06,4
02-Mar-2008 20:35:54,02-Mar-2008 20:37:03,6
02-Mar-2008 20:37:06,02-Mar-2008 20:37:42,4
02-Mar-2008 21:57:57,02-Mar-2008 22:03:12,4
03-Mar-2008 08:50:25,03-Mar-2008 08:52:13,4
03-Mar-2008 09:17:14,03-Mar-2008 09:32:32,5
04-Mar-2008 09:08:26,04-Mar-2008 09:10:01,6
04-Mar-2008 09:10:38,04-Mar-2008 09:11:33,4
04-Mar-2008 18:20:30,04-Mar-2008 18:23:28,4
04-Mar-2008 18:28:05,04-Mar-2008 18:29:11,6
04-Mar-2008 23:44:22,04-Mar-2008 23:45:21,4
05-Mar-2008 00:01:19,05-Mar-2008 00:04:45,4
05-Mar-2008 00:18:02,05-Mar-2008 00:19:55,6
05-Mar-2008 00:20:27,05-Mar-2008 00:21:33,4
05-Mar-2008 06:00:13,05-Mar-2008 06:01:08,4
05-Mar-2008 09:28:50,05-Mar-2008 09:29:38,4
05-Mar-2008 09:45:37,05-Mar-2008 09:53:47,5
05-Mar-2008 20:13:15,05-Mar-2008 20:14:36,4
05-Mar-2008 23:07:02,05-Mar-2008 23:08:21,4
05-Mar-2008 23:30:36,05-Mar-2008 23:32:31,6
05-Mar-2008 23:32:47,05-Mar-2008 23:33:19,4
06-Mar-2008 04:38:02,06-Mar-2008 04:38:56,4
06-Mar-2008 08:39:35,06-Mar-2008 08:40:18,4
06-Mar-2008 09:38:48,06-Mar-2008 09:43:12,4
06-Mar-2008 10:23:14,06-Mar-2008 10:31:04,5
06-Mar-2008 18:52:41,06-Mar-2008 18:53:55,4
06-Mar-2008 22:44:15,06-Mar-2008 22:47:13,4
06-Mar-2008 23:14:42,06-Mar-2008 23:17:08,6
06-Mar-2008 23:17:37,06-Mar-2008 23:18:25,4
07-Mar-2008 06:59:52,07-Mar-2008 07:00:40,4
07-Mar-2008 08:44:09,07-Mar-2008 08:45:17,4
07-Mar-2008 09:07:38,07-Mar-2008 09:16:41,5
08-Mar-2008 03:21:30,08-Mar-2008 03:23:13,4
08-Mar-2008 08:20:49,08-Mar-2008 08:21:52,4
08-Mar-2008 08:33:07,08-Mar-2008 08:36:08,4
08-Mar-2008 10:00:24,08-Mar-2008 10:01:51,4
08-Mar-2008 11:12:22,08-Mar-2008 11:15:28,4
08-Mar-2008 11:15:43,08-Mar-2008 11:24:31,5
10-Mar-2008 08:35:04,10-Mar-2008 08:36:02,4
10-Mar-2008 08:49:48,10-Mar-2008 08:51:58,4
10-Mar-2008 09:46:55,10-Mar-2008 09:57:53,5
10-Mar-2008 19:24:50,10-Mar-2008 19:25:45,4
10-Mar-2008 20:52:59,10-Mar-2008 20:55:01,4
10-Mar-2008 22:03:18,10-Mar-2008 22:04:01,4
11-Mar-2008 06:51:36,11-Mar-2008 06:53:02,4
11-Mar-2008 09:00:48,11-Mar-2008 09:02:16,4
11-Mar-2008 09:15:39,11-Mar-2008 09:18:24,4
11-Mar-2008 09:18:39,11-Mar-2008 09:29:06,5
11-Mar-2008 18:29:55,11-Mar-2008 18:30:44,4
11-Mar-2008 21:51:58,11-Mar-2008 21:53:05,4
12-Mar-2008 03:04:57,12-Mar-2008 03:05:53,4
12-Mar-2008 08:41:34,12-Mar-2008 08:42:59,4
12-Mar-2008 11:02:09,12-Mar-2008 11:04:34,4
12-Mar-2008 12:41:17,12-Mar-2008 12:47:05,5
13-Mar-2008 01:18:35,13-Mar-2008 01:21:26,4
13-Mar-2008 06:28:01,13-Mar-2008 06:29:10,4
13-Mar-2008 08:22:18,13-Mar-2008 08:23:02,4
13-Mar-2008 09:40:53,13-Mar-2008 09:47:53,5
13-Mar-2008 17:53:11,13-Mar-2008 17:54:12,4
13-Mar-2008 20:31:24,13-Mar-2008 20:33:24,4
14-Mar-2008 00:38:13,14-Mar-2008 00:39:11,4
14-Mar-2008 05:29:09,14-Mar-2008 05:43:33,4
14-Mar-2008 09:12:51,14-Mar-2008 09:14:13,4
14-Mar-2008 09:57:12,14-Mar-2008 10:00:51,4
14-Mar-2008 10:31:08,14-Mar-2008 10:42:06,5
14-Mar-2008 17:19:59,14-Mar-2008 17:20:59,4
14-Mar-2008 23:04:21,14-Mar-2008 23:05:16,4
14-Mar-2008 23:57:06,14-Mar-2008 23:58:07,4
15-Mar-2008 04:06:50,15-Mar-2008 04:07:53,4
15-Mar-2008 08:59:43,15-Mar-2008 09:00:32,4
15-Mar-2008 10:07:07,15-Mar-2008 10:09:28,4
15-Mar-2008 10:40:17,15-Mar-2008 10:41:44,4
