start_time,end_time,id
20-Nov-2008 01:31:30,20-Nov-2008 01:36:20,6
21-Nov-2008 15:43:00,21-Nov-2008 16:29:40,8
21-Nov-2008 18:17:15,21-Nov-2008 18:22:10,6
22-Nov-2008 01:29:20,22-Nov-2008 01:33:50,6
22-Nov-2008 09:38:50,22-Nov-2008 09:45:10,5
22-Nov-2008 18:21:30,22-Nov-2008 18:35:00,9
23-Nov-2008 09:26:00,23-Nov-2008 09:30:00,5
23-Nov-2008 09:37:40,23-Nov-2008 09:40:20,6
24-Nov-2008 00:16:30,24-Nov-2008 00:23:25,9
24-Nov-2008 09:34:00,24-Nov-2008 09:38:30,6
24-Nov-2008 18:16:10,24-Nov-2008 18:22:50,5
24-Nov-2008 18:22:52,24-Nov-2008 18:26:20,6
25-Nov-2008 00:44:30,25-Nov-2008 00:48:20,6
25-Nov-2008 07:00:20,25-Nov-2008 07:06:10,5
25-Nov-2008 18:06:55,25-Nov-2008 18:11:20,6
25-Nov-2008 18:14:30,25-Nov-2008 18:20:15,9
26-Nov-2008 00:47:00,26-Nov-2008 00:49:00,6
26-Nov-2008 08:18:00,26-Nov-2008 08:23:20,5
26-Nov-2008 08:35:00,26-Nov-2008 08:36:40,6
27-Nov-2008 00:04:50,27-Nov-2008 00:07:15,6
27-Nov-2008 06:54:00,27-Nov-2008 06:59:30,5
27-Nov-2008 07:00:00,27-Nov-2008 07:02:00,6
27-Nov-2008 18:07:10,27-Nov-2008 18:11:20,6
28-Nov-2008 00:17:35,28-Nov-2008 00:20:00,6
28-Nov-2008 07:12:00,28-Nov-2008 07:16:20,5
28-Nov-2008 19:30:30,28-Nov-2008 19:33:30,6
29-Nov-2008 16:55:40,29-Nov-2008 17:01:30,9
29-Nov-2008 18:50:00,29-Nov-2008 19:09:50,8
29-Nov-2008 18:54:30,29-Nov-2008 18:59:20,6
30-Nov-2008 01:47:10,30-Nov-2008 01:49:20,6
30-Nov-2008 13:11:40,30-Nov-2008 13:46:00,8
30-Nov-2008 14:48:55,30-Nov-2008 14:52:00,6
01-Dec-2008 00:15:40,01-Dec-2008 00:19:20,6
01-Dec-2008 18:35:40,01-Dec-2008 18:38:50,6
02-Dec-2008 00:56:30,02-Dec-2008 00:58:30,6
02-Dec-2008 06:09:10,02-Dec-2008 06:14:00,5
02-Dec-2008 07:01:45,02-Dec-2008 07:07:40,5
03-Dec-2008 00:01:50,03-Dec-2008 00:09:15,9
03-Dec-2008 00:09:10,03-Dec-2008 00:13:45,6
03-Dec-2008 06:36:50,03-Dec-2008 06:38:40,6
04-Dec-2008 07:01:30,04-Dec-2008 07:07:00,5
05-Dec-2008 03:13:15,05-Dec-2008 03:15:10,6
05-Dec-2008 07:17:00,05-Dec-2008 07:18:30,6
05-Dec-2008 17:49:50,05-Dec-2008 17:59:30,9
07-Dec-2008 02:04:50,07-Dec-2008 02:07:00,6
07-Dec-2008 12:37:30,07-Dec-2008 13:10:50,8
07-Dec-2008 13:12:15,07-Dec-2008 13:19:50,9
