start_time,end_time,id
25-Feb-2008 09:49:23,25-Feb-2008 09:53:28,13
25-Feb-2008 09:57:21,25-Feb-2008 10:01:31,19
25-Feb-2008 17:54:55,25-Feb-2008 17:55:58,17
25-Feb-2008 19:40:26,25-Feb-2008 20:22:58,15
25-Feb-2008 20:23:12,25-Feb-2008 20:23:35,17
25-Feb-2008 21:55:32,25-Feb-2008 21:59:08,16
25-Feb-2008 23:05:35,25-Feb-2008 23:19:11,18
26-Feb-2008 09:26:42,26-Feb-2008 09:29:09,13
26-Feb-2008 21:39:23,26-Feb-2008 21:40:12,17
27-Feb-2008 08:01:22,27-Feb-2008 08:02:58,13
27-Feb-2008 18:59:55,27-Feb-2008 19:19:08,15
27-Feb-2008 19:19:52,27-Feb-2008 19:20:11,17
27-Feb-2008 23:06:10,27-Feb-2008 23:14:26,19
28-Feb-2008 09:49:59,28-Feb-2008 09:51:47,13
28-Feb-2008 18:35:21,28-Feb-2008 18:37:49,16
28-Feb-2008 22:20:57,28-Feb-2008 22:21:23,16
29-Feb-2008 10:22:47,29-Feb-2008 10:26:49,13
29-Feb-2008 19:41:23,29-Feb-2008 19:44:13,18
29-Feb-2008 19:44:50,29-Feb-2008 20:59:56,15
02-Mar-2008 20:57:26,02-Mar-2008 21:01:27,16
03-Mar-2008 09:01:33,03-Mar-2008 09:03:18,13
04-Mar-2008 23:52:12,04-Mar-2008 23:52:48,17
05-Mar-2008 09:29:55,05-Mar-2008 09:31:31,13
05-Mar-2008 19:51:29,05-Mar-2008 20:27:00,15
06-Mar-2008 09:04:05,06-Mar-2008 09:09:56,13
06-Mar-2008 17:46:01,06-Mar-2008 17:46:29,17
06-Mar-2008 18:54:04,06-Mar-2008 19:38:33,15
06-Mar-2008 19:40:03,06-Mar-2008 19:40:26,17
06-Mar-2008 19:53:37,06-Mar-2008 19:57:49,19
06-Mar-2008 20:05:14,06-Mar-2008 20:12:33,18
06-Mar-2008 21:34:41,06-Mar-2008 21:37:25,16
06-Mar-2008 21:37:34,06-Mar-2008 21:37:57,17
07-Mar-2008 08:49:12,07-Mar-2008 08:49:53,17
07-Mar-2008 08:50:11,07-Mar-2008 08:51:45,13
08-Mar-2008 01:11:53,08-Mar-2008 01:12:43,17
08-Mar-2008 08:21:54,08-Mar-2008 08:22:53,17
08-Mar-2008 10:26:21,08-Mar-2008 10:29:34,13
10-Mar-2008 09:25:58,10-Mar-2008 09:27:24,13
10-Mar-2008 09:35:34,10-Mar-2008 09:41:42,18
10-Mar-2008 19:33:36,10-Mar-2008 20:10:42,15
10-Mar-2008 20:10:53,10-Mar-2008 20:11:24,17
10-Mar-2008 21:31:58,10-Mar-2008 21:34:54,17
11-Mar-2008 17:58:06,11-Mar-2008 18:12:51,15
11-Mar-2008 18:16:03,11-Mar-2008 18:16:30,17
11-Mar-2008 20:48:10,11-Mar-2008 20:53:15,17
11-Mar-2008 21:13:48,11-Mar-2008 21:14:13,17
12-Mar-2008 09:48:38,12-Mar-2008 09:52:20,13
12-Mar-2008 09:59:25,12-Mar-2008 09:59:52,17
13-Mar-2008 00:54:16,13-Mar-2008 00:56:11,16
13-Mar-2008 09:19:47,13-Mar-2008 09:21:16,13
13-Mar-2008 18:39:18,13-Mar-2008 18:40:06,16
14-Mar-2008 09:15:01,14-Mar-2008 09:18:16,13
14-Mar-2008 17:13:54,14-Mar-2008 17:15:27,16
14-Mar-2008 22:55:40,14-Mar-2008 22:57:58,16
15-Mar-2008 10:09:42,15-Mar-2008 10:11:59,13
15-Mar-2008 13:41:35,15-Mar-2008 13:43:13,16
15-Mar-2008 15:41:39,15-Mar-2008 15:46:38,19
15-Mar-2008 15:46:47,15-Mar-2008 15:47:00,16
15-Mar-2008 16:10:06,15-Mar-2008 16:13:04,18
15-Mar-2008 18:15:12,15-Mar-2008 18:39:46,15
15-Mar-2008 18:55:11,15-Mar-2008 18:55:46,17
16-Mar-2008 00:31:55,16-Mar-2008 00:36:49,16
16-Mar-2008 10:03:54,16-Mar-2008 10:05:37,13
17-Mar-2008 08:31:58,17-Mar-2008 08:33:12,13
17-Mar-2008 19:43:51,17-Mar-2008 20:15:37,15
17-Mar-2008 20:17:08,17-Mar-2008 20:17:17,17
17-Mar-2008 21:33:42,17-Mar-2008 21:33:58,17
18-Mar-2008 08:20:32,18-Mar-2008 08:23:41,13
19-Mar-2008 09:38:13,19-Mar-2008 09:44:21,13
20-Mar-2008 09:11:55,20-Mar-2008 09:15:14,13
