label,,id
masterBedroomBedlampLinks,,10
timBedroomSpots,,14
woonkamerVloer,,18
voordeurGrondspots,,5
voordeurTraplicht,,6
masterBedroomSpots,,8
studeerSpots,,11
woonkamerUplight,,17
inloopkast,,31
sterreBedroom1,,9
woonkamerSpotsZithoek,,19
studeerWandlicht,,12
extra2,,13
ouderBadkamerSpots,,32
voordeurStop,,4
woonkamerDimmer,,21
timBedroomHang,,15
gangLichtkoepels,,27
buitenVerlichting,,16
woonkamerSpotsOpenhaard,,20
ouderBadkamerWc,,23
kinderBadkamerDouche,,28
kitchenKookeiland,,26
ouderBadkamerWastafel,,24
sterreBedroom2,,25
buitenCircuitAchter,,48
buitenCircuit3,,47
fitnessWandlamp,,29
garderobe,,33
kinderBadkamerSpiegelkast,,30
kinderBadkamerVerwarming,,42
ouderBadkamerBad,,41
extra4,,34
terrasWandlamp,,44
buitenCircuitVoor,,46
extra5,,45
ouderBadkamerVerwarming,,43
woonkamerEettafel,,22
masterBedroomBedlampRechts,,7
